Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","040","Autriche","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","Kcal/personne/jour","37.42","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","040","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","g/personne/jour","4.47","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","031","Azerbaïdjan","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","115388","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","031","Azerbaïdjan","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","24367.09","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","031","Azerbaïdjan","5910","Exportations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","30.96","A","Chiffre officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","031","Azerbaïdjan","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","Kcal/personne/jour","46.06","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","031","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","g/personne/jour","4.64","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","044","Bahamas","5510","Production","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","6379.49","I","Valeur imputée"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","044","Bahamas","5610","Importations - Quantité","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","tonnes","28043","T","Chiffre non officiel"
"SCL","Compte Disponibilités et Utilisations (CDU) (2010-)","044","Bahamas","664","Disponibilité alimentaire (Kcal/personne/jour)","21121","Viande, poulet, fraîche ou réfrigérée","2020","2020","Kcal/personne/jour","203.32","T","Chiffre non officiel"
